File Path,Line Number,Function Call
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/impute.py,136,>>> imputer.fit_transform(X)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/impute.py,386,"warm_start=False, **fit_params).fit(train, train_y)"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/impute.py,440,preds = model.predict(test)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/base.py,148,"self.estimator_.fit(X[cols], **fit_kwargs)"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/base.py,183,transform = est.transform(X[cols])
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/base.py,340,">>> search.fit(X, y)  # doctest: +SKIP"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_extraction/spatial.py,157,>>> est.fit_transform(X)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_extraction/spatial.py,186,"self.fit_transform(X, y)"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_extraction/dates.py,108,>>> DateFactorizer(cols=['b']).fit_transform(df)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_extraction/dates.py,149,"self.fit_transform(X, y)"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_extraction/dates.py,355,>>> tdf.fit_transform(df)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_extraction/dates.py,366,">>> TimeDeltaFeatures(cols=['c', 'b'], units='hours').fit_transform(df)"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_extraction/dates.py,404,"self.fit_transform(X, y)"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_extraction/interact.py,89,>>> X_transform = trans.fit_transform(X)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_extraction/tests/test_dates.py,37,trans = fact.fit_transform(df)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_extraction/tests/test_dates.py,41,assert trans.equals(fact.transform(df))
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_extraction/tests/test_dates.py,53,drop_original=False).fit_transform(df)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_extraction/tests/test_dates.py,66,trans = tbe.fit_transform(df2)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_extraction/tests/test_dates.py,72,assert trans.equals(tbe.transform(df2))
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_extraction/tests/test_dates.py,76,trans = tbe.fit_transform(df2)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_extraction/tests/test_dates.py,81,trans = tbe.fit_transform(df2)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_extraction/tests/test_dates.py,87,trans = tbe.fit_transform(df2)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_extraction/tests/test_spatial.py,43,trans = est.fit_transform(X)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_extraction/tests/test_spatial.py,56,trans = est.fit(X).transform(X)  # make sure the fit and transform work
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_extraction/tests/test_spatial.py,71,trans = est.fit_transform(X)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_extraction/tests/test_interact.py,28,X_trans = trans.fit_transform(X_pd)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_extraction/tests/test_interact.py,57,X_trans = trans.fit_transform(X_pd)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_extraction/tests/test_interact.py,75,X_trans = trans.fit_transform(X_pd)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/tests/test_pipe.py,50,"pipe.fit(X_train, y_train)"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/tests/test_pipe.py,62,"pipe.fit(X_train, y_train)"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/tests/test_pipe.py,102,"search.fit(X_train, y_train)"
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/tests/test_impute.py,108,trans = imputer.fit_transform(X)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/tests/test_impute.py,143,trans = imputer.fit_transform(X)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/tests/test_impute.py,159,trans = imputer.fit_transform(X)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/tests/test_impute.py,180,trans = imputer.fit_transform(X)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/tests/test_impute.py,192,trans = imputer.fit_transform(Y)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/balance/smote.py,48,transformed_label = label_encoder.transform([label])[0]
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/balance/smote.py,72,model.fit(X_sub)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/balance/smote.py,286,le.fit(present_classes)
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/balance/smote.py,287,y_transform = le.transform(y)  # make numeric
