File Path,Line Number,Import Statement
/Users/cba/Desktop/github_datascience_code/download_code/MichaelAHood_real_estate_recommender/code/learn_preferences.py,3,pairwise_distances
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/impute.py,7,BaggingClassifier
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/impute.py,8,check_is_fitted
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/base.py,5,check_is_fitted
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/base.py,6,TransformerMixin
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/base.py,320,load_iris
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/base.py,321,Pipeline
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/base.py,322,PCA
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/base.py,323,GridSearchCV
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/base.py,324,LogisticRegression
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_extraction/spatial.py,4,check_is_fitted
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_extraction/dates.py,13,check_is_fitted
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_extraction/interact.py,7,check_is_fitted
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/datasets/__init__.py,110,load_boston
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/datasets/__init__.py,140,load_breast_cancer
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/datasets/__init__.py,170,load_iris
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/tests/test_pipe.py,11,RandomForestClassifier
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/tests/test_pipe.py,12,Pipeline
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/tests/test_pipe.py,13,RandomizedSearchCV
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/balance/under.py,7,check_random_state
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/balance/under.py,61,make_classification
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/balance/smote.py,10,NearestNeighbors
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/balance/smote.py,11,LabelEncoder
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/balance/smote.py,12,check_random_state
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/balance/smote.py,13,safe_indexing
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/balance/smote.py,253,make_classification
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/balance/over.py,7,LabelEncoder
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/balance/over.py,8,check_random_state
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/balance/over.py,9,safe_indexing
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/balance/over.py,51,make_classification
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/balance/base.py,9,safe_indexing
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/balance/base.py,10,type_of_target
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/balance/tests/test_under.py,7,load_iris
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/balance/tests/test_smote.py,8,load_iris
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/balance/tests/test_over.py,7,load_iris
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/model_validation/_validator.py,17,check_is_fitted
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/utils/testing.py,5,clone
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/utils/profiling.py,7,Pipeline
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/utils/profiling.py,48,Pipeline
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/utils/tests/test_validation.py,8,check_random_state
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_selection/base.py,5,check_is_fitted
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/feature_selection/tests/test_combos.py,15,load_iris
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/exploration/multivariate.py,62,make_classification
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/binning.py,9,check_is_fitted
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/skewness.py,15,check_is_fitted
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/encode.py,5,OneHotEncoder
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/encode.py,6,check_is_fitted
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/dates.py,6,check_is_fitted
/Users/cba/Desktop/github_datascience_code/download_code/tgsmith61591_skoot/skoot/preprocessing/scale.py,7,\
